id;title;description;publication_date;price
1;mobile Fish;Home Loan Account Table Computer;2019-06-26;45924
2;seamless Metal deposit;Producer;2019-06-25;93855
3;Electronics;Soap methodology Albania;2019-06-26;2306
4;Namibia;Steel zero administration;2019-06-26;23277
5;Licensed Savings Account;Cambridgeshire Mississippi;2019-06-26;85994
6;Yuan Renminbi Centers;Factors;2019-06-25;56328
7;envisioneer Music Public-key;infomediaries;2019-06-26;60999
8;backing up Salad;Digitized invoice;2019-06-26;42515
9;sky blue Georgia;Facilitator;2019-06-25;44975
10;e-enable Communications capacitor;Awesome;2019-06-26;52083
