id;name;open;high;close;low;volume
1;mobile Fish;77969;59865;59685;15601;44583
2;Small;45924;86617;33370;60111;14286
3;deposit Tasty Metal Bacon Implementation;77;18182;99221;18340;61748
4;Home Loan Account;706;43194;2306;29122;52477
5;enable Gorgeous Frozen Pants;23277;45606;9060;78517;61838
6;syndicate;98323;59241;46676;4645;85994
7;Yuan Renminbi Centers;1326;94888;94220;96563;56328
8;envisioneer Music Public-key;24102;44015;68326;12203;60999
9;backing up Salad;39106;25877;18223;66252;75536
10;convergence;20794;54671;56770;18485;3131
